Part Name	Vendor	SKU	Unit Cost	Quantity	Total Price	Num Per Container	Num Used	Notes
*These inlaid beads vary a lot in quality, so take a close look at the pictures before ordering, I found a really nice one on AlphaStamps, but it doesn't look like they are selling this part anymore.								
**I liked the slightly abstract representation of Earth that I got from these handmade globe beads, but if you want something more realistic, you could have one 3D printed on Shapeways.								
20mm earth beads	multiple sources (see note)		$12.00	1	$12.00			These can be sourced from Etsy, John F Allen, and ZnetShows (among other places), note that the quality varies greatly from source to source.
								
Moon and counterweight								
1/4" diameter, 6-32 threaded brass ball	Amazon		$7.54	1	$7.54	10	2	
								
Sun								
1" brass ball with 1/4"-20 threaded hole	McMaster-Carr	60215K55	$7.10	1	$7.10			
								
Magnet Fasteners (optional)								
In case you don't want to epoxy the calendar dial to the wood base, an option is to fasten it magnetically.								
8mm x 3mm neodymium magnets (optional)	Amazon		$7.99	1	$7.99	50	6	
0.018" 430 stainless steel 0.5" x 12" strip (optional)	McMaster-Carr	8457K44	$0.99	1	$0.99			This is cut into small pieces and epoxied to the backside of the brass calendar plate to attach it to the magnets
								
Parts Total					$396.50	<<< $100 dollars of that is for screws, of which you only use a few $ worth, I recommend buying screws individually to cut costs.		
								
Tools								
1/8" upcutter end mill (for metal)	Amazon		$22.50	1	$22.50	5	1	I would have liked to use a 2 flute cutter for better chip clearance, but these were really cheap and I've been happy with their performance.
1/16" 2 flute upcutter end mill (>1/8" length of cut) (for metal)	Carbide Depot	CU 130007	$8.79	1	$8.79			
3/64" 2 flute upcutter end mill (1/8" length of cut) (for metal)	Carbide Depot	CU 129996	$10.34	1	$10.34			Get extras, these are easy to break.
1/32" 2 flute upcutter end mill (1/8" length of cut) (for metal)	Carbide Depot	CU 129985	$12.14	2	$24.28			Get extras, these are very easy to break.
30deg v-bit engraver	Amazon		$12.99	1	$12.99	10	1	The tip breaks when cutting into brass with these, but it still works.
1/4" 2 flute downcutter end mill (for wood)	Amazon		$19.54	1	$19.54			
1/4" 2 flute upcutter end mill (for wood)			$15.95	1	$15.95			
1/8" 2 flute downcutter end mill (for wood)	Amazon		$18.04	1	$18.04			
1/4" 2 flute ball nose end mill (for wood)	Amazon		$15.43	1	$15.43			
center drill set	source locally		$13.99	1	$13.99			I have this metric one because I tend to use metric screws in other projects, exact sizes don't really matter.
fractional drill index (increments of 1/64)	McMaster	8907A12	$31.13	1	$31.13			At some point I'd like to modify this set to work better for brass.
90 deg countersink (optional)	McMaster-Carr	2742A28	$17.41	1	$17.41			Optional - I used this to add a slight chamfer to some holes before press fitting, reaming, or opening up the holes to a larger diameter.  I just held the tool in my hand to do this chamfering very lightly.  You can also use the tip of a large drill bit for this.
1/8" undersized reamer	McMaster-Carr	3087A51	$12.61	1	$12.61			
M2, M2.5, M3 taps	Amazon		$16.99	1	$16.99			I got this set from Amazon, you can use the 1/16" drill to make the hole for the M2 threads (1/16 ~= 1.6mm), the M2.5 requires a 2.0mm drill, M3 requires a 2.5mm drill.  I got the smaller drill sizes from this pin vise set (the pin vise also comes in handy for this project).
M2 bottoming tap (optional)	McMaster	26475A63	$21.41	1	$21.41			Optional – I found that I needed this tap for the moon shaft collar (the smallest part), where there was very little clearance to cut threads.  You could also tap all the way through the part or use Loctite 603 here to bond the shaft collar to the shaft and avoid buying another tool.
small tap handle	Amazon		$11.00	1	$11.00			I haven't used this part from Amazon specifically, but it seems like it would work.  You'll need tap handles that go down to M2, which is somewhat unusual.  I like these types of tap handles because I can drill a small center hole in the top and use the tap guide to center the tapping on the mill or drill press.
tap guide (optional)	Amazon		$8.95	1	$8.95			Optional  I find these handy.
edge finder	Amazon		$17.73	1	$17.73			
center punch tool			$12.99	1	$12.99			You can also use a sharp nail and hammer for the same effect.
angle/wire cutters	source locally		$7.06	1	$7.06			For cutting tabs on brass stock.
#0 square drive 	source locally		$3.99	1	$3.99			
small flathead screwdriver (like one from this set)	source locally		$5.99	1	$5.99			
needle files	Amazon		$7.99	1	$7.99			
larger metal file	Amazon		$7.97	1	$7.97			
imperial hex key set	source locally		$11.64	1	$11.64			
metric hex key set	source locally		$11.64	1	$11.64			
M0.9 hex key	McMaster	7289A32	$0.29	1	$0.29			For driving M2 set screws.
lathe cutting tool			$10.00	1	$10.00			Something like this - you will need to find something that fits in your setup.
lathe parting tool	Amazon		$20.00	1	$20.00			Something like this - you will need to find something that fits in your setup.
tumble polisher	Amazon		$66.99	1	$66.99			I have a Lortone tumble polisher, but this looks similar.
2lbs tumble polisher stainless steel shot media	Amazon		$22.95	1	$22.95			
digital calipers	Amazon		$25.99	1	$25.99			Obviously there are much nicer calipers out there, but if you're just starting, I'd recommend getting something you won't have to worry about too much if you accidently drop.
digital micrometer	Amazon		$39.99	1	$39.99			Obviously there are much nicer micrometers out there, but if you're just starting, I'd recommend getting something you won't have to worry about too much if you accidently drop.
Knurlmaster Standard Kit hand knurler (optional, but handy)	Eagle Rock Technologies	 K1-207-10-H	$188.70	1	$188.70			I ordered this with the fine tooth straight knurls installed instead of the regular straight knurls.
butane torch	source locally		$10.00	1	$10.00			For melting engraver's wax, get one prefilled with butane.
strap clamps	Amazon		$13.57	2	$27.14			For glueing up wood base, it's also possible to use regular clamps for this.
								
Gear Depthing Gauge								This is a tool that will need to be made to help accurately position the gear axes.
This is a very simple (and probably much less accurate) version of Clickspring's tool described here.								
In addition to the parts listed here, I also used some of the acrylic for the body of the gauge and some of the 1/8" stainless rod (filed to be a slip fit in the undersized gear holes).  These materials are listed elsewhere in the BOM.								
vented screw 1" long, 1/8" vent diameter	McMaster-Carr	90220A210	$9.30	2	$18.60			
corresponding nut	McMaster-Carr	92673A137	$2.68	1	$2.68	10	2	
long M3 screw	source locally		$1.50	1	$1.50		1	This is a fine-tune adjustment screw for the gauge, aim for 30-50mm in length.  You will probably never use a screw with these dimensions again, so I recommend going to the local hardware store and buying the longest single M3 you can get rather than a whole box, I got a 30mm socket head screw.
M3 nut	McMaster-Carr	98676A100	$5.39	1	$5.39	100	1	
								
Tools Total					$808.57			
								
Consumables								
Loctite 603	McMaster	91458A340	$16.84	1	$16.84			
Tap Magic cutting oil	source locally		$10.00	1	$10.00			For tapping and reaming.
SuperLube synthetic grease	Amazon		$4.98	1	$4.98			For final assembly.
Pure Tung Oil	source locally		$10.00	1	$10.00			
clear lacquer spray	Amazon		$19.99	1	$19.99			I really liked this Mohawk ultra flow lacquer spray in clear gloss.  I actually used the satin finish for most of my parts, but would go for glossy next time since you can bring it to a satin finish with 0000 steel wool.  I did use the ultra flow gloss finish on the engravings and was very happy with the results after about 3 coats.  Other brands I saw recommended were Nikolas and Staybrite.  I went with the aerosol spray for convenience, but many suggest dipping in thinned lacquer for better results (so far I have not figured out a good strategy for doing this).  If you don't want to use lacquer, you might check out Renaissance Wax.
odorless mineral spirits	source locally		$10.00	1	$10.00			
acetone	source locally		$10.00	1	$10.00			Don't use acetone on the engravings, it will melt the wax!
white vinegar	source locally		$1.00	1	$1.00			The acid reacts with the surface of the brass to remove oxidation and give it a whiter appearance.  Some recommend lemi shine for this, I found that the white vinegar works just as well.
polishing cloth	source locally		$5.00	1	$5.00			Cutting up an old cotton t-shirt works.
0000 steel wool	source locally		$5.00	1	$5.00			For applying a fine brushed finish to brass.
multiple grit wet/dry sandpaper (for metal) 	source locally		$9.99	1	$9.99			Use this wet to reduce dust.
multiple grit sandpaper (for wood)	source locally		$2.28	1	$2.28			I use the lighter color sandpaper on wood so it doesn't leave any black oxides on my piece.
orbital sanding pads	source locally		$5.00	1	$5.00			
black engraver's wax	Timesavers		$12.50	1	$12.50			For darkening the letters on the dial - I originally tried using jax black patina, but didn't end up getting a dark enough result.  Another source for the wax that I believe would be comparable is a "lacquer burn in stick": https://www.lmii.com/fretting-setup-tools/3051-burn-in-lacquer-stick-black-34-oz.html
scotch double sided tape	source locally		$2.00	1	$2.00			I like using scotch tape, stronger tapes may make your workpiece too difficult to remove.
painter's/masking tape	source locally		$3.00	1	$3.00			
dawn dish soap (the blue one)	source locally		$3.00	1	$3.00			For tumble polishing.
1"x6"x12" HDPE spoilboard	McMaster-Carr	8619K851	$23.01	1	$23.01			I screwed down the brass to this to fix it in the vise during machining.  I'm able to resurface this same piece and use it again for many projects, amortizing the cost.
epoxy	source locally		$5.00	1	$5.00			
								
Consumables Total					$158.59			
								
Large Machines / Power tools								
3 axis CNC mill - I used a Tormach PCNC 1100								Since this project uses very small bits, a high RPM spindle is better (though you will need the option to slow down to about 2K RPM for some of the reaming/drilling operations). The machine I used only went up to about 6k; I think I could have gone a lot faster with a higher RPM machine.
3 axis CNC mill (for cutting wood) – I used a Shopbot PRS Alpha								I can't cut wood on the Tormach because of the coolant system, so I used the Shopbot instead.
manual mill								Not strictly necessary, but it was useful drilling/tapping and for facing off some of my parts when the stock was a bit too thick.
lathe								There are two brass shaft collars and a thick-walled aluminum tube that had to be made for this project.  Theoretically, they could also be made on the CNC.
3d printer								For making jigs for drilling angled holes in Earth mount and moon cam shaft collar.  The angled holes could be cut without the jigs with a bit more effort.
bandsaw								For cutting rod/tube stock.
disc/belt sander								For dimensioning rod/tube stock, removing tabs from gears.
small arbor press								For pressing together press fit joints.
tablesaw								For cutting wood pre-glueup.
drum sander								For planing wood post-glueups.
cordless drill								
orbital sander								
